Date,AAPL,MSFT,GOOGL,JPM,TSLA,^GSPC
2022-01-03,178.27032470703125,323.89837646484375,143.9042205810547,144.9294891357422,399.9266662597656,4796.56005859375
2022-01-04,176.00779724121094,318.3444519042969,143.31666564941406,150.4237518310547,383.1966552734375,4793.5400390625
2022-01-05,171.3260040283203,306.1239318847656,136.74180603027344,147.6736602783203,362.7066650390625,4700.580078125
2022-01-06,168.46597290039062,303.7049560546875,136.7145233154297,149.24258422851562,354.8999938964844,4696.0498046875
2022-01-07,168.63247680664062,303.8597106933594,135.98948669433594,150.72132873535156,342.32000732421875,4677.02978515625
2022-01-10,168.65208435058594,304.082275390625,137.62962341308594,150.86557006835938,352.7066650390625,4670.2900390625
2022-01-11,171.4827117919922,304.7692565917969,138.6881103515625,151.0188751220703,354.79998779296875,4713.06982421875
2022-01-12,171.92347717285156,307.95257568359375,140.36988830566406,151.8754119873047,368.739990234375,4726.35009765625
2022-01-13,168.65208435058594,294.91925048828125,137.54774475097656,151.68606567382812,343.85333251953125,4659.02978515625
2022-01-14,169.51397705078125,300.1441345214844,138.4345245361328,142.36294555664062,349.8699951171875,4662.85009765625
2022-01-18,166.31118774414062,292.8389587402344,134.9781494140625,136.39395141601562,343.5033264160156,4577.10986328125
2022-01-19,162.81455993652344,293.4969482421875,134.103271484375,134.2840576171875,331.8833312988281,4532.759765625
2022-01-20,161.12989807128906,291.822998046875,132.30783081054688,133.13894653320312,332.0899963378906,4482.72998046875
2022-01-21,159.0730438232422,286.4335632324219,129.37399291992188,130.81268310546875,314.6333312988281,4397.93994140625
2022-01-24,158.2992706298828,286.76251220703125,129.82310485839844,130.6954803466797,310.0,4410.1298828125
2022-01-25,156.49705505371094,279.13800048828125,125.98310852050781,132.12008666992188,306.1333312988281,4356.4501953125
2022-01-26,156.40895080566406,287.0915222167969,128.26388549804688,133.37338256835938,312.4700012207031,4349.93017578125
2022-01-27,155.94857788085938,290.1200866699219,128.03758239746094,131.02003479003906,276.3666687011719,4326.509765625
2022-01-28,166.83029174804688,298.26715087890625,132.35098266601562,132.1921844482422,282.1166687011719,4431.85009765625
2022-01-31,171.18890380859375,300.8989562988281,134.28884887695312,133.98651123046875,312.239990234375,4515.5498046875
2022-02-01,171.0223846435547,298.7509460449219,136.61181640625,136.28573608398438,310.4166564941406,4546.5400390625
2022-02-02,172.2270965576172,303.2985534667969,146.89013671875,135.19473266601562,301.88665771484375,4589.3798828125
2022-02-03,169.34747314453125,291.484375,142.01695251464844,134.07664489746094,297.0466613769531,4477.43994140625
2022-02-04,169.0631103515625,296.0222473144531,142.2184295654297,137.55706787109375,307.7733459472656,4500.52978515625
2022-02-07,168.34718322753906,291.1940612792969,138.15713500976562,138.0169677734375,302.4466552734375,4483.8701171875
2022-02-08,171.45602416992188,294.68707275390625,138.3536376953125,140.61367797851562,307.3333435058594,4521.5400390625
2022-02-09,172.87802124023438,301.1214904785156,140.5301971435547,141.1997833251953,310.6666564941406,4587.18017578125
2022-02-10,168.79830932617188,292.5777587890625,137.58047485351562,140.61367797851562,301.51666259765625,4504.080078125
2022-02-11,165.38543701171875,285.4757080078125,133.2755126953125,138.78334045410156,286.6666564941406,4418.64013671875
2022-02-14,165.620849609375,285.43695068359375,134.5096893310547,137.4939727783203,291.9200134277344,4401.669921875
2022-02-15,169.45538330078125,290.7296447753906,135.58407592773438,139.50466918945312,307.4766540527344,4471.06982421875
2022-02-16,169.21998596191406,290.390380859375,136.70510864257812,139.7571258544922,307.7966613769531,4475.009765625
